Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
26412,41822.0,17972.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=715704FD750AC88366C5F157982D8282?id=2013YAN/MIA161-167:1,2.0,4.82,-10,-318435,CH2=CHCH2OH,O3,,[None],,,200,2.0
26429,41863.0,17991.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=49322D38736DBFA3503D5646CC175136?id=1966FRI/GOW42-43:2,2.0,3.59,-11,,CH2ClCN,[None],,CH2CN,[None],,"520
 
K",2.0
26430,41864.0,17991.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=49322D38736DBFA3503D5646CC175136?id=1944EVA/WAL384:7,2.0,1.19,-10,,CH2ClCN,[None],,CH2CN,[None],,"558
 
K",2.0
26449,41890.0,18008.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89E123BBFD72C425CC61D7908992AE3B?id=1972KER/PARB:97,2.0,1.99,-12,-3010,CH2CHCN,[None],,[None],,,302,2.0
26450,41891.0,18008.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89E123BBFD72C425CC61D7908992AE3B?id=1966CAL/TYE2760-2767:8,2.0,2.01,-12,-3010,CH2CHCN,[None],,[None],,,302,2.0
26451,41892.0,18008.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89E123BBFD72C425CC61D7908992AE3B?id=1966CAL/TYE2760-2767:9,2.0,1.08,-1,9146,CH2CHCN,[None],,[None],,,302,2.0
26453,41897.0,18012.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BE5795F0D1A2FAA51B277706C6B182C3?id=1972KER/PARB:96,2.0,6.61,-13,-28435,CH2CHCN,(.)CCl3,,[None],,,313,2.0
26457,41904.0,18017.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=21668E58C9D6B32D5D6E108F59A8C933?id=1987VAN/HUY363:2,2.0,1.39,-15,-89796,CH2CHCN,['C1=CC=CCC1'],,[None],,,440,2.0
26458,41905.0,18018.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CCEFA9A6A989B445E01FFC3402A50327?id=1987VAN/HUY363:1,2.0,1.35,-15,-88965,CH2CHCN,['C1=CC=CCC1'],,[None],,,440,2.0
26492,41960.0,18049.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E15B9E22A02DC4CB4D30775D59F67FCC?id=1944EVA/WAL384:6,2.0,8.49,-13,,CH2ClCH2OH,[None],,[None],[None],,"558
 
K",2.0
26517,41987.0,18059.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E9A5F20BDDC00E426632C7058713F57D?id=1999SAL/MAR797-809:1,1.0,1.3,-8,,CH2ClCH2Cl,,,CH2CH2Cl,[None],,763,1.0
26518,41988.0,18059.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E9A5F20BDDC00E426632C7058713F57D?id=2007MOU/SAH279-298:5,1.0,6.2,15,-326200,CH2ClCH2Cl,,,CH2CH2Cl,[None],,849,1.0
26519,41989.0,18059.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E9A5F20BDDC00E426632C7058713F57D?id=1988KAR/SEN447-451:2,1.0,1.26,16,-338904,CH2ClCH2Cl,,,CH2CH2Cl,[None],,500,1.0
