ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
865,2.51,11,-172110,['CC(C)(C)NC(C1=CC=C(C=C1)[N+](=O)[O-])=O'],,,[None],['C=C(C)C'],
875,3.0,11,-123886,['C(=C)C1=C(CC1)C=C'],,,['C12=CCCC=C2CC1'],,
876,1.6,13,-158806,['C12=CCCC=C2CC1'],,,['C(=C)C1=C(CC1)C=C'],,
886,8.7,12,-221752,['C1(=CC=CC=C1)OCCC1=CC=CC=C1'],,,['C=CC1=CC=CC=C1'],['C1(C=CC=CC1)=O'],
887,1.11,11,-205016,['C1(=CC=CC=C1)OCCC1=CC=CC=C1'],,,['C=CC1=CC=CC=C1'],['C1(C=CC=CC1)=O'],
888,8.3,14,-263592,['C1(=CC=CC=C1)OCCC1=CC=CC=C1'],,,['C=CC1=CC=CC=C1'],['C1(=CC=CC=C1)O'],
889,1.05,13,-246856,['C1(=CC=CC=C1)OCCC1=CC=CC=C1'],,,['C=CC1=CC=CC=C1'],['C1(=CC=CC=C1)O'],
893,8.79,12,-108088,['C=C1C2CCC2C1=C'],,,[None],,
904,3.42,13,-193835,[None],,,[None],,
905,3.34,13,-192164,[None],,,[None],,
907,5.01,13,-165458,['C=C1C2CC=CC2C1'],,,['C=C1C2C=CC(C1)C2'],,
950,1.78,15,-235300,['CO[C@H]1[C@H](C1)C'],,,['CO[C@H]1[C@@H](C1)C'],,
954,9.77,14,-233637,['CO[C@H]1[C@@H](C1)C'],,,['CO[C@H]1[C@H](C1)C'],,
963,1.21,12,-192064,['C(\\C=C\\C)N1C(=CC=C1C)C'],,,['CC=1NC(=CC1C(C=C)C)C'],,
964,5.87,13,-214513,['C(\\C=C\\C)N1C(=CC=C1C)C'],,,['C(\\C=C\\C)C1=C(NC(=C1)C)C'],,
969,5.5,12,-207030,['CC=1N(C(=CC1)C)C(C=C)C'],,,['CC=1NC(=CC1C(C=C)C)C'],,
970,8.95,11,-180424,['CC=1N(C(=CC1)C)C(C=C)C'],,,['C(\\C=C\\C)C1=C(NC(=C1)C)C'],,
971,1.77,11,-194559,['CC=1N(C(=CC1)C)C(C=C)C'],,,[None],,
972,1.89,12,-203705,['C(\\C=C/C)C1=CNC=C1'],,,['C(\\C=C/C)C=1NC=CC1'],,
973,2.75,11,-191233,['C(\\C=C\\C)C1=CNC=C1'],,,['C(\\C=C\\C)C=1NC=CC1'],,
974,2.55,9,-173772,['CC(C=C)C1=CNC=C1'],,,['C(\\C=C/C)C=1NC=CC1'],,
975,3.82,9,-166289,['CC(C=C)C1=CNC=C1'],,,['C(\\C=C\\C)C=1NC=CC1'],,
976,2.49,11,-192064,['CC(C=C)C1=CNC=C1'],,,['CC(C=C)C=1NC=CC1'],,
977,6.81,11,-201210,['C(\\C=C/C)C=1NC=CC1'],,,['C(\\C=C/C)C1=CNC=C1'],,
978,9.2,7,-147998,['C(\\C=C/C)C=1NC=CC1'],,,['CC(C=C)C=1NC=CC1'],,
979,3.0,10,-181255,['C(\\C=C\\C)C=1NC=CC1'],,,['C(\\C=C\\C)C1=CNC=C1'],,
